Message Type,Received UTC,MMSI,Ship Name,Latitude,Longitude,Speed Over Ground (knots),Course Over Ground,True Heading,Timestamp (sec),Is Valid,Call Sign,Destination,Ship Type,Dimensions
DataLinkManagementMessage,15:02:57,2275450,,43.16129,6.00718,,,,,True,,,,
PositionReport,15:02:57,356249000,MSC SAMANTHA VI,37.21964,3.83142,13.8,262.9,262.0,53.0,True,,,,
PositionReport,15:02:57,227017200,CHAMBON BORA,43.22008,6.96392,7.7,230.0,511.0,53.0,True,,,,
StandardClassBPositionReport,15:02:57,254541000,MANTA,43.72961,7.41871,0.0,360.0,511.0,54.0,True,,,,
UnknownMessage,15:02:57,538072016,,44.40859,8.92065,,,,,,,,,
PositionReport,15:02:57,257831000,BELHAWK,37.29569,5.97216,10.9,263.0,263.0,60.0,True,,,,
PositionReport,15:02:57,232193000,M/Y VARMAR-VE,37.93096,23.68279,0.0,292.0,213.0,56.0,True,,,,
BinaryAcknowledge,15:02:57,247325600,SYN TURAIS,43.39971,4.9664,,,,,True,,,,
PositionReport,15:02:57,304200000,BBC SCANDINAVIA,44.40524,8.88365,0.0,317.3,352.0,56.0,True,,,,
PositionReport,15:02:57,247033600,NEW MASTER,44.30903,9.33354,0.0,189.0,91.0,54.0,True,,,,
PositionReport,15:02:57,249501000,BIG EASY,37.9385,23.66867,0.1,58.0,299.0,15.0,True,,,,
ShipStaticData,15:02:57,259194000,HOEGH MOONLIGHT,43.57836,10.30594,,,,,True,LAUL8,MT MLA>IT LIV,70.0,"{'A': 27, 'B': 173, 'C': 25, 'D': 13}"
ShipStaticData,15:02:57,224152140,ANSIA,43.557,-5.69772,,,,,True,ECIO,,30.0,"{'A': 8, 'B': 19, 'C': 3, 'D': 4}"
ShipStaticData,15:02:57,224208000,VB XEREA,39.44209,-0.31738,,,,,True,EAQW,VALENCIA,52.0,"{'A': 14, 'B': 17, 'C': 4, 'D': 7}"
StaticDataReport,15:02:57,271051304,EDIBA VIRGO,36.55032,27.98203,,,,,True,,,,
StaticDataReport,15:02:57,235068596,ASTRAEA,39.55818,2.62804,,,,,True,,,,
StaticDataReport,15:02:57,224149530,BUMERANG SEIS,38.34129,-0.48327,,,,,True,,,,
ShipStaticData,15:02:57,237021400,AG NEKTARIOS AIGINAS,37.96055,23.56852,,,,,True,SX7083,PERAMA,60.0,"{'A': 15, 'B': 60, 'C': 8, 'D': 6}"
PositionReport,15:02:57,238639740,UNIJE,44.55652,14.42294,11.0,54.0,511.0,55.0,True,,,,
StandardClassBPositionReport,15:02:57,232063764,ASTRO,39.58969,2.33872,5.1,28.0,44.0,60.0,True,,,,
StandardClassBPositionReport,15:02:57,227404320,VARECH,43.58737,7.1252,0.0,263.7,511.0,55.0,True,,,,
ShipStaticData,15:02:57,620999015,M/V SUM,43.10472,28.28906,,,,,True,D6A3021,ORDER,70.0,"{'A': 79, 'B': 16, 'C': 14, 'D': 3}"
PositionReport,15:02:57,224027670,VIDALS,38.84359,0.11244,0.0,360.0,511.0,55.0,True,,,,
PositionReport,15:02:57,319144900,PROMISE.,43.31423,6.72516,8.2,239.4,238.0,53.0,True,,,,
PositionReport,15:02:57,237040100,ELENI,37.87846,23.56539,12.3,36.3,36.0,56.0,True,,,,
PositionReport,15:02:57,224019360,ESTRELLA FUGAZ,38.81591,0.18284,8.9,116.7,138.0,55.0,True,,,,
ShipStaticData,15:02:58,233219000,LADY BEATRICE,43.58703,7.13095,,,,,True,MRPW2,SEA TRIAL,37.0,"{'A': 30, 'B': 30, 'C': 5, 'D': 5}"
StaticDataReport,15:02:58,224309440,MANUELA,39.56066,-0.28449,,,,,True,,,,
StaticDataReport,15:02:58,228185760,ENTRE2POLES,43.56646,7.08195,,,,,True,,,,
StandardClassBPositionReport,15:02:58,225993618,OQRE,39.45953,-0.31446,0.0,360.0,511.0,57.0,True,,,,
AidsToNavigationReport,15:02:58,992381170,,44.66871,14.57817,,,,56.0,True,,,6.0,"{'A': 0, 'B': 2, 'C': 0, 'D': 1}"
StandardClassBPositionReport,15:02:58,253723000,RUTHIE,44.4158,8.84115,0.3,200.3,511.0,56.0,True,,,,
PositionReport,15:02:58,357934000,BITU EXPRESS,37.89519,23.04002,0.1,49.5,77.0,56.0,True,,,,
PositionReport,15:02:58,247451300,MARU C,45.42258,12.25776,0.0,255.5,300.0,58.0,True,,,,
StandardClassBPositionReport,15:02:58,269123450,WAIATA,43.01304,6.22482,0.0,94.9,9.0,56.0,True,,,,
PositionReport,15:02:58,319491000,SIDRA,36.44456,28.22916,0.0,0.0,79.0,58.0,True,,,,
PositionReport,15:02:58,247325800,ANNAMARIA Z,44.30663,9.01254,6.4,288.4,287.0,55.0,True,,,,
PositionReport,15:02:58,249457000,CELEBRITY XCEL,35.95415,19.01963,15.4,264.6,266.0,54.0,True,,,,
PositionReport,15:02:58,271053558,UNERCO BOSPHORUS,40.9435,28.856,0.7,58.0,511.0,57.0,True,,,,
PositionReport,15:02:58,319061400,DEEP BLUE,38.8601,1.31877,0.0,273.0,273.0,60.0,True,,,,
PositionReport,15:02:58,667002383,MED SKY,37.07828,26.58583,9.5,149.5,511.0,54.0,True,,,,
PositionReport,15:02:58,538009203,PACIFIC GARNET,45.612,13.77841,0.0,228.1,247.0,54.0,True,,,,
PositionReport,15:02:58,325126400,TAMALI TOO,43.45239,10.15148,28.9,161.8,166.0,56.0,True,,,,
PositionReport,15:02:59,352003424,STAR EXPLORER,40.12295,0.95021,11.7,12.4,11.0,56.0,True,,,,
StandardClassBPositionReport,15:02:59,249404000,,40.61497,14.10773,7.2,116.2,511.0,57.0,True,,,,
DataLinkManagementMessage,15:02:59,2275430,,42.96921,9.38002,,,,,True,,,,
PositionReport,15:02:59,256902000,CIELO DI ULSAN,37.16471,-0.95218,10.9,336.0,338.0,60.0,True,,,,
PositionReport,15:02:59,227510640,SNS 246,42.20681,9.5684,6.1,357.5,511.0,57.0,True,,,,
StaticDataReport,15:02:59,225988697,NEMO NEFES,41.38636,2.19892,,,,,True,,,,
PositionReport,15:02:59,247131500,EURO IV,40.636,14.35,10.7,259.0,511.0,58.0,True,,,,
StaticDataReport,15:02:59,235113039,RAINBOW,39.55982,2.62997,,,,,True,,,,
PositionReport,15:02:59,636022434,EMERALD QUSHAN,31.44099,32.28163,5.5,122.3,122.0,56.0,True,,,,
PositionReport,15:02:59,247053620,AURORA,45.27952,12.60964,5.6,90.7,511.0,57.0,True,,,,
PositionReport,15:02:59,257743000,NORMAND PACIFIC,41.28679,9.2324,0.0,167.2,165.0,58.0,True,,,,
PositionReport,15:02:59,255806317,BRENS,41.24095,9.6759,13.7,130.3,130.0,56.0,True,,,,
PositionReport,15:02:59,319211800,AILY,40.69507,13.90985,0.7,209.9,241.0,55.0,True,,,,
PositionReport,15:02:59,215388000,PAX II,42.12746,11.59282,8.0,121.6,127.0,57.0,True,,,,
PositionReport,15:02:59,636017982,OCEAN DIAMOND,36.28226,35.39913,1.7,324.7,275.0,58.0,True,,,,
PositionReport,15:02:59,215587000,NEPTUNE ITHAKI,42.32482,16.16919,15.6,316.2,318.0,43.0,True,,,,
PositionReport,15:02:59,247428800,SAN VITALE,38.21702,15.24756,0.0,294.8,133.0,56.0,True,,,,
PositionReport,15:02:59,212313000,VTS AMMOCHOSTOS,33.20204,34.29136,0.4,252.7,511.0,56.0,True,,,,
PositionReport,15:02:59,212717000,OLVIA,34.25157,33.34809,7.8,330.2,326.0,15.0,True,,,,
PositionReport,15:02:59,667002053,AMANY QUEEN,31.54799,31.7507,0.2,36.5,284.0,56.0,True,,,,
PositionReport,15:02:59,224853000,TRHEINTAYCINCO,36.71058,-4.42215,0.0,5.2,259.0,54.0,True,,,,
PositionReport,15:03:00,210719000,PATRIS,34.65252,33.01813,5.4,153.8,145.0,60.0,True,,,,
PositionReport,15:03:00,249116000,SAN MARCOS,43.78839,-5.90685,14.3,91.1,90.0,59.0,True,,,,
PositionReport,15:03:00,219028212,ALONDRA,37.32262,25.38266,13.2,256.3,257.0,57.0,True,,,,
PositionReport,15:03:00,319185400,SPECIAL ONE,39.56356,2.63759,0.0,102.1,328.0,57.0,True,,,,
AddressedBinaryMessage,15:03:00,2242174,,36.71415,-4.41456,,,,,True,,,,
PositionReport,15:03:00,247101360,ORNELLO 2,42.61471,14.41281,3.4,323.0,511.0,58.0,True,,,,
PositionReport,15:03:00,352001168,MSC SANTA MARIA,36.74719,-0.03826,13.9,76.0,77.0,60.0,True,,,,
PositionReport,15:03:00,229709000,JAAN,37.93911,23.6689,0.0,261.4,295.0,58.0,True,,,,
PositionReport,15:03:00,256980000,SHAKE N BAKE TBD,43.7249,7.41722,0.0,51.9,224.0,56.0,True,,,,
AddressedBinaryMessage,15:03:00,2242174,,36.71415,-4.41456,,,,,True,,,,
StandardClassBPositionReport,15:03:00,224296240,NAUTICAE,37.73893,-0.7619,3.6,351.0,350.0,60.0,True,,,,
PositionReport,15:03:00,227855000,F/V VOLUNTAS DEI,45.61793,-1.02964,0.0,232.9,511.0,59.0,True,,,,
