MMSI,Ship Name,lat,lon,low_confidence,n_pings,score,is_anomalous,flags,reason
247432990,I M EEL,40.65598,14.3847,False,8,1.0,False,,
247434400,SANTA MARIA,40.63942,14.40009,False,9,0.79,False,,
247434500,SIKANIA,38.16113,15.56689,True,1,,,,only 1 ping(s) - not enough data to score reliably
247435300,AIDACOSMA,43.00318,7.71068,False,14,1.04,False,,
247436000,ICHNUSA,41.23866,9.19447,False,5,0.93,False,,
247436200,ORIENTE,40.47785,17.19914,True,2,,,,only 2 ping(s) - not enough data to score reliably
247436400,,45.43141,12.34633,True,1,,,,only 1 ping(s) - not enough data to score reliably
247436500,MEGA REGINA,41.92433,8.74217,False,3,1.62,False,signal gap of 1092s,
247437300,SB FLEGREA,40.84181,14.27005,False,13,1.06,False,,
247438400,MINERVA,40.56484,14.25289,False,10,2.35,False,sharp turn of 177 deg (while moving),
247439100,RUSH,44.33905,9.23016,False,11,1.25,False,,
247439700,MEGA VICTORIA,41.73109,8.60005,False,10,0.97,False,,
247440900,,45.37583,12.33812,True,2,,,,only 2 ping(s) - not enough data to score reliably
247441000,VINCENZO FLORIO,42.09722,11.78197,False,3,1.03,False,signal gap of 741s,
247442800,CASTOR 2,45.61065,13.7877,False,10,0.92,False,,
247444500,TARENTUM,40.84316,14.26491,True,2,,,,only 2 ping(s) - not enough data to score reliably
247445700,CRISTINA M,38.00972,12.51988,False,13,1.25,False,,
247445900,MEDMAR GIORGIA,40.76925,14.02978,False,17,1.72,False,,
247446200,SNAV SIRIUS,40.83449,14.26314,False,11,0.94,False,,
247446900,AETHALIA,42.93137,10.56424,False,6,1.86,False,signal gap of 721s,
247447600,FERDINANDO MORACE,38.29412,15.22218,False,9,2.03,False,implied speed of 60 kts between pings (physically implausible),
247449900,LORIANO,43.55821,10.29422,False,9,0.89,False,,
247451300,MARU C,45.42258,12.25776,False,9,1.71,False,signal gap of 828s,
247452200,RITA IEVOLI,41.72887,11.3666,False,14,0.84,False,,
247453300,DELFINO-VERDE_GT,45.64898,13.76384,False,15,2.01,False,signal gap of 847s,
247453500,ECO SALERNO,38.5699,20.48882,False,12,1.58,False,implied speed of 55 kts between pings (physically implausible),
247453600,ECO NAPOLI,44.4061,8.88735,False,6,0.63,False,,
247454600,HULK,45.63548,13.7684,False,17,1.46,False,long stop of 1669s,
247454700,SPIDER,45.63539,13.76784,False,18,1.15,False,,
247455200,CAPTAIN CAT,45.6572,13.76653,False,3,0.48,False,,
247455300,MED RIGEL,45.65698,13.76595,True,1,,,,only 1 ping(s) - not enough data to score reliably
247458000,GIRAGLIA,42.80792,10.32771,True,1,,,,only 1 ping(s) - not enough data to score reliably
247459000,DON PEPPINO,40.8222,14.11658,False,9,0.97,False,,
247465100,NAVE ARINGHIERI,43.54866,10.30041,False,6,0.88,False,,
247476200,1981.4-CANAL GRANDE,45.43348,12.34399,True,2,,,,only 2 ping(s) - not enough data to score reliably
247482000,MARIA ONORATO,40.8389,14.28987,False,5,1.14,False,signal gap of 745s,
247482200,STROMBOLI M,37.75744,11.68554,True,1,,,,only 1 ping(s) - not enough data to score reliably
247482700,MOBY FANTASY,41.00307,9.68098,False,3,1.26,False,,
247484300,MOBY LEGACY,43.03705,10.0745,False,7,2.81,True,signal gap of 1209s; implied speed of 54 kts between pings (physically implausible),
247485200,ITAL WIT,32.81535,35.01372,False,4,0.81,False,,
247486400,GNV POLARIS,40.83961,14.26023,False,10,1.15,False,,
247486600,JOLLY ORO,44.40452,8.88203,False,3,0.77,False,,
247487500,SAN SALVATORE,40.59226,14.31992,False,12,2.28,False,,
247488500,GNV ORION,43.11095,9.60152,False,13,1.38,False,,
247489300,VALDARNO,41.22272,13.57338,False,11,1.09,False,,
247489500,PIERO SANGIOVANNI,38.0103,12.50302,False,10,0.81,False,,
247489600,CANNAREGIO,45.43492,12.40377,False,9,1.87,False,,
247492000,ISOLA DI VULCANO,40.75355,13.95067,True,1,,,,only 1 ping(s) - not enough data to score reliably
247501600,C6267 D MILLELIRE,43.81457,9.66792,False,10,1.57,False,,
247503500,EXPLORA III,44.42176,8.84195,False,5,0.84,False,,
247508000,ROSANNA A,41.24036,13.63033,False,4,0.63,False,,
247520360,ARCADIA,44.39925,8.68679,True,2,,,,only 2 ping(s) - not enough data to score reliably
247521450,GIANBURRASCA I,44.40845,8.92655,False,3,1.02,False,signal gap of 735s,
247522640,,44.14202,9.65095,True,2,,,,only 2 ping(s) - not enough data to score reliably
247522660,MAIMITI,44.38092,8.96433,False,6,1.93,False,,
247522670,EPHE-MERE,43.78305,7.51691,True,2,,,,only 2 ping(s) - not enough data to score reliably
247523380,ENIGMA II,45.60748,13.75423,False,4,0.73,False,,
247524410,BLEU 2 TOI,44.41112,8.92401,True,2,,,,only 2 ping(s) - not enough data to score reliably
247524710,FANTOMAS SOLO SAILOR,44.39797,8.75719,False,13,1.75,False,sharp turn of 165 deg (while moving),
247524970,,44.35259,8.5663,True,1,,,,only 1 ping(s) - not enough data to score reliably
247528100,PORTOSALVO,40.84288,14.26506,False,16,1.09,False,,
247528110,IUGHY,44.3104,9.21469,True,1,,,,only 1 ping(s) - not enough data to score reliably
247528690,GIO GIO 3,43.00232,6.20053,False,6,0.97,False,,
247528900,MANISA BIANCANEVE,37.23695,15.19534,True,2,,,,only 2 ping(s) - not enough data to score reliably
247529300,GARGANO,40.84314,14.26475,False,5,1.16,False,signal gap of 756s,
247529500,CASTELLO,45.46136,12.37196,False,3,1.14,False,,
247529900,MEGA SERENA,43.11572,5.93355,True,2,,,,only 2 ping(s) - not enough data to score reliably
247530100,GREEN PEARL,44.39338,8.87056,False,4,1.4,False,signal gap of 925s,
247530300,GNV AURORA,39.60977,1.02956,False,8,1.39,False,,
247531100,,39.20979,9.10961,True,2,,,,only 2 ping(s) - not enough data to score reliably
247531300,ALICUDI M,43.14362,4.91939,False,7,1.41,False,signal gap of 734s,
247536000,MARE JONIO,38.01141,12.51943,False,3,1.5,False,signal gap of 1080s,
247539300,VB INSIGNIA,44.41626,8.79565,False,9,0.7,False,,
247540000,SUPER JET,40.62948,14.33147,False,14,2.21,False,sharp turn of 178 deg (while moving),
247540140,NO RUSH,43.53471,7.05848,False,3,0.61,False,,
247546000,ISOLA DI PROCIDA,40.83924,14.29057,False,14,0.78,False,,
247549600,VB ETNA,38.21715,15.24718,False,15,1.94,False,,
247575000,SEA,45.63492,13.7673,False,3,0.59,False,,
247579700,VB MARTE,44.41112,8.9208,False,13,0.94,False,,
247590000,BILLTON,40.84414,14.26506,False,9,1.61,False,,
247599000,RASANT,45.80216,13.53839,True,2,,,,only 2 ping(s) - not enough data to score reliably
247605000,VINICIO,44.39408,8.90425,False,7,0.95,False,,
247901000,NAVE GIGANTE,42.07326,11.22675,False,14,0.74,False,,
248000182,FLOR,37.27964,23.13462,False,10,0.61,False,,
248000356,HYDRA III,45.60803,13.75609,False,3,1.43,False,signal gap of 950s,
248000664,BACCHUS,37.27457,23.15,False,5,0.92,False,,
